Month,Karachi Area,Crm Cd Desc,Crime Count,Suspect_Age,Suspect_Gender,Occupation,Education_Level,Crime_Motive,Reference_Source
2022-01,Korangi,BURGLARY FROM VEHICLE,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Korangi,INTIMATE PARTNER - SIMPLE ASSAULT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Korangi,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Korangi,THEFT OF IDENTITY,8,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-01,Korangi,THEFT PLAIN - PETTY ($950 & UNDER),2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Korangi,"THEFT, PERSON",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Korangi,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Korangi,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Korangi,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Landhi,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Landhi,BATTERY - SIMPLE ASSAULT,2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Landhi,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Landhi,SHOTS FIRED AT INHABITED DWELLING,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Landhi,THEFT OF IDENTITY,11,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-01,Landhi,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Liaquatabad,BURGLARY,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Liaquatabad,CRIMINAL THREATS - NO WEAPON DISPLAYED,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Liaquatabad,INTIMATE PARTNER - AGGRAVATED ASSAULT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Liaquatabad,THEFT OF IDENTITY,11,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-01,Liaquatabad,THEFT PLAIN - PETTY ($950 & UNDER),2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Nazimabad,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Nazimabad,INTIMATE PARTNER - SIMPLE ASSAULT,2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Nazimabad,PIMPING,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Nazimabad,THEFT OF IDENTITY,20,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-01,Nazimabad,THEFT PLAIN - PETTY ($950 & UNDER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Nazimabad,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Nazimabad,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Nazimabad,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Orangi Town,BURGLARY,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Orangi Town,BURGLARY FROM VEHICLE,3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Orangi Town,INTIMATE PARTNER - AGGRAVATED ASSAULT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Orangi Town,PICKPOCKET,1,15-25,Male,Street Vendor,Primary,Survival,"Dawn News Investigation, 2022"
2022-01,Orangi Town,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Orangi Town,THEFT OF IDENTITY,9,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-01,Orangi Town,THEFT PLAIN - PETTY ($950 & UNDER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Orangi Town,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,BATTERY - SIMPLE ASSAULT,7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,BIKE - STOLEN,3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,"BUNCO, GRAND THEFT",5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,BURGLARY,12,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,BURGLARY FROM VEHICLE,5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,CONTEMPT OF COURT,2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,CONTRIBUTING,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,CRIMINAL THREATS - NO WEAPON DISPLAYED,2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),9,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,DISTURBING THE PEACE,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,DOCUMENT FORGERY / STOLEN FELONY,6,30-45,Male,Clerk/Agent,Intermediate,Fraudulent Gain,NADRA Cyber Crimes Unit
2022-01,Other,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,INDECENT EXPOSURE,1,20-40,Male,Varied,Matric,Psychological,"Police Behavioral Unit Report, Karachi 2022"
2022-01,Other,INTIMATE PARTNER - SIMPLE ASSAULT,13,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,KIDNAPPING,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,OTHER MISCELLANEOUS CRIME,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,ROBBERY,1,18-30,Male,Unemployed,Matric,Financial,FIA Crime Report 2023
2022-01,Other,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,THEFT OF IDENTITY,88,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-01,Other,THEFT PLAIN - PETTY ($950 & UNDER),10,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,THREATENING PHONE CALLS/LETTERS,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,UNAUTHORIZED COMPUTER ACCESS,2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,VANDALISM - MISDEAMEANOR ($399 OR UNDER),4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,VIOLATION OF COURT ORDER,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Other,VIOLATION OF RESTRAINING ORDER,4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Saddar,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Saddar,"BUNCO, GRAND THEFT",2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Saddar,BURGLARY FROM VEHICLE,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Saddar,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Saddar,INTIMATE PARTNER - SIMPLE ASSAULT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-01,Saddar,THEFT OF IDENTITY,5,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-01,Saddar,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Clifton,BURGLARY,4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Clifton,BURGLARY FROM VEHICLE,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Clifton,INTIMATE PARTNER - SIMPLE ASSAULT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Clifton,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Clifton,THEFT OF IDENTITY,3,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-02,Clifton,THEFT PLAIN - PETTY ($950 & UNDER),2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Clifton,"THEFT, PERSON",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Clifton,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Defence,BURGLARY,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Defence,DOCUMENT FORGERY / STOLEN FELONY,3,30-45,Male,Clerk/Agent,Intermediate,Fraudulent Gain,NADRA Cyber Crimes Unit
2022-02,Defence,INTIMATE PARTNER - SIMPLE ASSAULT,2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Defence,OTHER MISCELLANEOUS CRIME,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Defence,THEFT OF IDENTITY,2,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-02,Gulistan-e-Johar,"BUNCO, GRAND THEFT",2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Gulistan-e-Johar,INTIMATE PARTNER - SIMPLE ASSAULT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Gulistan-e-Johar,THEFT OF IDENTITY,8,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-02,Gulistan-e-Johar,THEFT PLAIN - PETTY ($950 & UNDER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Gulistan-e-Johar,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Gulshan-e-Iqbal,BATTERY - SIMPLE ASSAULT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Gulshan-e-Iqbal,"BUNCO, GRAND THEFT",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Gulshan-e-Iqbal,CRIMINAL THREATS - NO WEAPON DISPLAYED,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Gulshan-e-Iqbal,THEFT FROM PERSON - ATTEMPT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Gulshan-e-Iqbal,THEFT OF IDENTITY,2,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-02,Gulshan-e-Iqbal,THEFT PLAIN - PETTY ($950 & UNDER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Gulshan-e-Iqbal,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Korangi,BATTERY - SIMPLE ASSAULT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Korangi,"BUNCO, GRAND THEFT",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Korangi,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Korangi,DISTURBING THE PEACE,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Korangi,DOCUMENT FORGERY / STOLEN FELONY,1,30-45,Male,Clerk/Agent,Intermediate,Fraudulent Gain,NADRA Cyber Crimes Unit
2022-02,Korangi,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Korangi,THEFT OF IDENTITY,6,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-02,Korangi,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Landhi,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Landhi,BURGLARY FROM VEHICLE,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Landhi,CRIMINAL THREATS - NO WEAPON DISPLAYED,3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Landhi,INTIMATE PARTNER - AGGRAVATED ASSAULT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Landhi,INTIMATE PARTNER - SIMPLE ASSAULT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Landhi,THEFT OF IDENTITY,4,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-02,Liaquatabad,BURGLARY,2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Liaquatabad,BURGLARY FROM VEHICLE,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Liaquatabad,DOCUMENT FORGERY / STOLEN FELONY,1,30-45,Male,Clerk/Agent,Intermediate,Fraudulent Gain,NADRA Cyber Crimes Unit
2022-02,Liaquatabad,INTIMATE PARTNER - SIMPLE ASSAULT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Liaquatabad,THEFT OF IDENTITY,9,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-02,Liaquatabad,THEFT PLAIN - PETTY ($950 & UNDER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Liaquatabad,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Liaquatabad,TRESPASSING,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Nazimabad,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Nazimabad,BURGLARY,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Nazimabad,"CREDIT CARDS, FRAUD USE ($950 & UNDER",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Nazimabad,CRIMINAL THREATS - NO WEAPON DISPLAYED,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Nazimabad,OTHER MISCELLANEOUS CRIME,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Nazimabad,THEFT OF IDENTITY,9,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-02,Orangi Town,BATTERY - SIMPLE ASSAULT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Orangi Town,BIKE - STOLEN,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Orangi Town,BURGLARY,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Orangi Town,BURGLARY FROM VEHICLE,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Orangi Town,FALSE POLICE REPORT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Orangi Town,INTIMATE PARTNER - SIMPLE ASSAULT,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Orangi Town,THEFT OF IDENTITY,6,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-02,Orangi Town,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,BATTERY - SIMPLE ASSAULT,7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,BRANDISH WEAPON,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,"BUNCO, GRAND THEFT",5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,"BUNCO, PETTY THEFT",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,BURGLARY,8,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,BURGLARY FROM VEHICLE,6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,"BURGLARY, ATTEMPTED",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,CRIMINAL THREATS - NO WEAPON DISPLAYED,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,DOCUMENT FORGERY / STOLEN FELONY,6,30-45,Male,Clerk/Agent,Intermediate,Fraudulent Gain,NADRA Cyber Crimes Unit
2022-02,Other,EXTORTION,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,INTIMATE PARTNER - SIMPLE ASSAULT,7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,OTHER MISCELLANEOUS CRIME,2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,ROBBERY,2,18-30,Male,Unemployed,Matric,Financial,FIA Crime Report 2023
2022-02,Other,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,THEFT OF IDENTITY,57,25-40,Male,IT Technician,Graduate,Digital Fraud,Cybercrime Wing FIA
2022-02,Other,THEFT PLAIN - PETTY ($950 & UNDER),4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,"THEFT, PERSON",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,UNAUTHORIZED COMPUTER ACCESS,3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Other,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Saddar,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Saddar,BRANDISH WEAPON,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Saddar,CRIMINAL HOMICIDE,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2022-02,Saddar,DOCUMENT FORGERY / STOLEN FELONY,1,30-45,Male,Clerk/Agent,Intermediate,Fraudulent Gain,NADRA Cyber Crimes Unit
2022-02,Saddar,ROBBERY,2,18-30,Male,Unemployed,Matric,Financial,FIA Crime Report 2023
