X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
400840,139142,19149604,2019/08/24 02:06:02+00,2019/08/23 23:00:26+00,2019/08/23 23:29:13+00,1000 - 1249 BLOCK OF BRENTWOOD ROAD NE,THEFT/OTHER,OTHERS,EVENING,5,5C,5,505,Cluster 22,009102 3,009102,Precinct 72,,400840,139142,38.9201485438,-76.9903135821,939829335,
399886,134826,19004314,2019/01/08 03:31:43+00,2019/01/08 02:00:26+00,2019/01/08 03:00:12+00,300 - 399 BLOCK OF G STREET SE,MOTOR VEHICLE THEFT,OTHERS,EVENING,6,6B,1,106,Cluster 26,007000 1,007000,Precinct 90,,399886,134826,38.8812688684,-77.001313869,939829336,
397789,137976,19101743,2019/06/11 22:27:03+00,2019/06/11 15:35:07+00,2019/06/11 21:42:58+00,923 - 999 BLOCK OF P STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2F,3,307,Cluster 7,004901 3,004901,Precinct 129,,397789,137976,38.9096424467,-77.0254922805,939829374,
397846,143036,19001454,2019/01/03 13:23:44+00,2019/01/03 00:00:44+00,2019/01/03 11:00:22+00,800  - 899 BLOCK OF JEFFERSON STREET NW,MOTOR VEHICLE THEFT,OTHERS,DAY,4,4D,4,403,Cluster 18,002101 4,002101,Precinct 56,,397846,143036,38.9552246071,-77.0248509665,939829404,
397832,138854,19002745,2019/01/05 09:03:04+00,2019/01/05 07:48:41+00,2019/01/05 07:53:19+00,2000 - 2099 BLOCK OF VERMONT AVENUE NW,ROBBERY,OTHERS,MIDNIGHT,1,1B,3,305,Cluster 3,004401 3,004401,Precinct 137,,397832,138854,38.9175518727,-77.0249992735,939829405,
405933,135213,19197399,2019/11/04 04:08:09+00,2019/11/04 02:40:18+00,2019/11/04 04:03:53+00,4900 - 4999 BLOCK OF CALL PLACE SE,ROBBERY,OTHERS,MIDNIGHT,7,7E,6,604,Cluster 33,009904 1,009904,Precinct 104,,405933,135213,38.8847351031,-76.9316178586,939829441,
400589,136927,19197733,2019/11/04 19:39:20+00,2019/10/02 18:00:59+00,2019/10/31 18:39:45+00,900 - 999 BLOCK OF H STREET NE,THEFT/OTHER,OTHERS,DAY,6,6A,1,104,Cluster 25,008410 1,008410,Precinct 82,,400589,136927,38.9001952707,-76.9932098758,939829442,
401179,140841,19201460,2019/11/10 18:23:06+00,2019/11/10 06:26:38+00,2019/11/10 06:30:24+00,3700 - 3799 BLOCK OF 14TH STREET NE,THEFT F/AUTO,OTHERS,DAY,5,5B,5,504,Cluster 22,009503 2,009503,Precinct 68,,401179,140841,38.9354532771,-76.9864015021,939829443,
397519,140084,19088720,2019/05/23 14:21:18+00,2019/05/23 02:00:06+00,2019/05/23 11:00:20+00,1100 - 1299 BLOCK OF IRVING STREET NW,THEFT F/AUTO,OTHERS,DAY,1,1A,3,302,Cluster 2,003000 2,003000,Precinct 39,,397519,140084,38.9286312785,-77.0286129312,939829473,
401105,141739,19092791,2019/05/29 16:48:13+00,2019/05/29 16:21:24+00,,4400 - 4499 BLOCK OF 13TH PLACE NE,THEFT F/AUTO,OTHERS,DAY,5,5A,4,405,Cluster 20,009503 3,009503,Precinct 67,,401105,141739,38.94354282,-76.9872535664,939829474,
401504,137393,19230032,2019/12/27 15:55:47+00,2019/12/27 15:24:08+00,2019/12/27 15:55:56+00,1433 - 1514 BLOCK OF HOLBROOK STREET NE,THEFT/OTHER,OTHERS,DAY,5,5D,5,506,Cluster 23,008802 1,008802,Precinct 77,,401504,137393,38.9043920746,-76.9826605303,939829520,
397216,137538,19400194,2019/02/05 20:32:30+00,2019/01/30 20:20:00+00,2019/01/31 20:20:00+00,1300 - 1499 BLOCK OF MASSACHUSETTS AVENUE NW,THEFT/OTHER,OTHERS,EVENING,2,2F,2,208,Cluster 7,005203 3,005203,Precinct 17,,397216,137538,38.9056951632,-77.0320970521,939829521,
397497,137053,19401061,2019/08/08 00:33:57+00,2019/08/07 12:15:00+00,2019/08/07 20:15:00+00,1200 - 1299 BLOCK OF I STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2F,2,209,Cluster 8,010100 2,010100,Precinct 129,DOWNTOWN,397497,137053,38.9013269574,-77.0288556039,939829522,
400226,137744,19058382,2019/04/07 04:09:46+00,2019/04/07 02:52:40+00,2019/04/07 04:00:14+00,1250 - 1299 BLOCK OF 6TH STREET NE,THEFT F/AUTO,OTHERS,MIDNIGHT,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,,400226,137744,38.9075552627,-76.9973943524,939829526,
397834,136610,19085503,2019/05/18 18:30:14+00,2019/05/18 15:37:38+00,2019/05/18 15:38:45+00,900 - 999 BLOCK OF F STREET NW,ROBBERY,OTHERS,DAY,2,2C,2,209,Cluster 8,005802 5,005802,Precinct 129,DOWNTOWN,397834,136610,38.8973371493,-77.0249691339,939829581,
398945,137916,19067662,2019/04/21 15:28:35+00,2019/04/21 14:24:16+00,2019/04/21 15:29:08+00,1400 - 1499 BLOCK OF 1ST STREET NW,THEFT/OTHER,OTHERS,DAY,5,5E,3,308,Cluster 21,004600 1,004600,Precinct 19,,398945,137916,38.9091040939,-77.0121637959,939829613,
397965,136733,19207234,2019/11/19 22:37:35+00,2019/11/19 21:54:53+00,2019/11/19 22:27:56+00,800 - 899 BLOCK OF G STREET NW,THEFT F/AUTO,OTHERS,EVENING,2,2C,1,101,Cluster 8,005802 5,005802,Precinct 129,DOWNTOWN,397965,136733,38.8984454907,-77.0234593615,939829635,
395366,140009,19201035,2019/11/09 21:49:53+00,2019/10/25 22:00:11+00,2019/11/09 21:30:01+00,2300 - 2399 BLOCK OF CATHEDRAL AVENUE NW,MOTOR VEHICLE THEFT,OTHERS,EVENING,3,3C,2,204,Cluster 15,000501 1,000501,Precinct 136,,395366,140009,38.9279469385,-77.053442586,939829643,
402595,132803,19056083,2019/04/23 18:38:13+00,2019/04/03 19:32:17+00,2019/04/03 20:16:57+00,2585 - 2649 BLOCK OF NAYLOR ROAD SE,THEFT/OTHER,OTHERS,DAY,7,7B,6,606,Cluster 35,007604 3,007604,Precinct 113,,402595,132803,38.8630410496,-76.9700998305,939829651,
399074,138792,19039591,2019/03/09 03:26:16+00,2019/03/08 19:00:01+00,2019/03/08 20:19:29+00,1 - 99 BLOCK OF U STREET NW,THEFT/OTHER,OTHERS,EVENING,5,5E,3,306,Cluster 21,003301 2,003301,Precinct 135,,399074,138792,38.9169955426,-77.0106776506,939829655,
401606,136325,19151935,2019/08/27 17:59:58+00,2019/08/26 18:00:31+00,2019/08/26 21:00:18+00,1600 - 1699 BLOCK OF D STREET NE,THEFT F/AUTO,OTHERS,DAY,7,6A,5,507,Cluster 25,007901 3,007901,Precinct 81,,401606,136325,38.8947709668,-76.9814870792,939829720,
397277,137638,19143087,2019/08/13 23:58:14+00,2019/08/13 22:30:01+00,2019/08/13 23:20:40+00,1200 - 1299 BLOCK OF VERMONT AVENUE NW,THEFT/OTHER,OTHERS,EVENING,2,2F,3,307,Cluster 7,005003 2,005003,Precinct 17,,397277,137638,38.906596189,-77.0313941727,939829742,
398477,137319,19167141,2019/09/20 00:35:37+00,2019/09/19 16:30:28+00,2019/09/19 16:49:23+00,400 - 497 BLOCK OF L STREET NW,THEFT/OTHER,OTHERS,EVENING,6,6E,1,101,Cluster 8,004703 2,004703,Precinct 1,MOUNT VERNON TRIANGLE CID,398477,137319,38.9037254238,-77.0175583548,939829750,
404978,135951,19117570,2019/07/05 21:52:21+00,2019/07/05 20:29:38+00,2019/07/05 21:21:15+00,2 - 199 BLOCK OF 42ND STREET NE,THEFT F/AUTO,OTHERS,EVENING,7,7F,6,603,Cluster 32,009603 1,009603,Precinct 102,,404978,135951,38.89138921,-76.9426195786,939829763,
397323,140703,19072562,2019/04/29 03:10:53+00,2019/04/29 01:16:13+00,2019/04/29 02:51:03+00,3474 - 3499 BLOCK OF HOLMEAD PLACE NW,THEFT F/AUTO,OTHERS,MIDNIGHT,1,1A,4,408,Cluster 2,002900 2,002900,Precinct 42,,397323,140703,38.9342068446,-77.0308757786,939829764,
404370,133067,19105726,2019/06/18 01:49:17+00,2019/06/17 21:13:24+00,2019/06/17 23:15:10+00,1800 - 1899 BLOCK OF FORT DAVIS STREET SE,THEFT F/AUTO,OTHERS,EVENING,7,7B,6,605,Cluster 34,009902 2,009902,Precinct 110,,404370,133067,38.8654122422,-76.9496462095,939829765,
397859.689999998,134553.300000001,19108391,2019/06/22 03:19:34+00,2019/06/21 23:08:22+00,2019/06/22 00:27:57+00,750 - 799 BLOCK OF WHARF STREET SW,THEFT/OTHER,OTHERS,MIDNIGHT,6,6D,1,103,Cluster 9,010202 5,010202,Precinct 142,SOUTHWEST,397859.69,134553.3,38.8788096829,-77.0246665794,939829766,
401508,137047,19027264,2019/02/16 01:36:02+00,2019/02/15 21:37:41+00,2019/02/15 22:00:11+00,812 - 899 BLOCK OF BLADENSBURG ROAD NE,THEFT F/AUTO,OTHERS,EVENING,5,5D,5,506,Cluster 23,008802 2,008802,Precinct 77,,401508,137047,38.9012751773,-76.9826151743,939829779,
400541,136105,19401156,2019/08/23 01:11:27+00,2019/08/22 17:05:00+00,2019/08/22 23:05:00+00,200 - 299 BLOCK OF 9TH STREET NE,THEFT/OTHER,OTHERS,EVENING,6,6A,1,108,Cluster 25,008100 2,008100,Precinct 85,,400541,136105,38.8927904262,-76.9937638779,939829793,
401543,135345,19401265,2019/09/11 16:11:42+00,2019/09/11 04:00:00+00,2019/09/11 15:55:00+00,230 - 299 BLOCK OF 16TH STREET SE,THEFT F/AUTO,OTHERS,DAY,7,6B,1,107,Cluster 26,006802 1,006802,Precinct 87,,401543,135345,38.8859428734,-76.9822155029,939829794,
397081,136664,19109106,2019/06/23 00:33:19+00,2019/06/22 21:30:34+00,2019/06/22 23:30:43+00,600 - 699 BLOCK OF 15TH STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2C,2,207,Cluster 8,005802 2,005802,Precinct 129,DOWNTOWN,397081,136664,38.8978214229,-77.033649768,939829878,
396014,138980,19183310,2019/10/13 20:10:00+00,2019/10/13 19:00:25+00,2019/10/13 19:55:59+00,2100 - 2299 BLOCK OF 20TH STREET NW,THEFT F/AUTO,OTHERS,EVENING,1,1C,3,303,Cluster 1,004001 2,004001,Precinct 25,,396014,138980,38.9186805567,-77.0459634152,939829909,
400638,134715,19226904,2019/12/21 16:44:23+00,2019/12/21 16:13:14+00,,700 - 799 BLOCK OF 10TH STREET SE,THEFT/OTHER,OTHERS,DAY,6,6B,1,106,Cluster 26,007000 2,007000,Precinct 90,,400638,134715,38.8802687131,-76.9926470468,939829984,
394450,137863,19104587,2019/06/16 02:33:05+00,2019/06/16 01:45:48+00,,1401 - 1498 BLOCK OF WISCONSIN AVENUE NW,THEFT/OTHER,OTHERS,EVENING,2,2E,2,206,Cluster 4,000102 2,000102,Precinct 5,GEORGETOWN,394450,137863,38.9086097622,-77.0639891987,939830025,
401338,136696,20400010,2019/12/18 23:54:43+00,2019/12/17 22:00:00+00,2019/12/17 22:01:00+00,600 - 699 BLOCK OF 14TH PLACE NE,THEFT/OTHER,OTHERS,EVENING,6,6A,1,104,Cluster 25,008001 1,008001,Precinct 81,,401338,136696,38.8981135186,-76.9845756858,939830086,
397893,139390,19052281,2019/03/29 01:00:01+00,2019/03/28 21:01:58+00,2019/03/28 21:59:02+00,2300 - 2599 BLOCK OF 9TH STREET NW,THEFT F/AUTO,OTHERS,EVENING,1,1B,3,304,Cluster 2,003500 2,003500,Precinct 37,,397893,139390,38.9223804835,-77.0242975257,939830102,
396537,138223,19040718,2019/03/10 21:52:02+00,2019/03/10 21:06:28+00,,1700 - 1789 BLOCK OF CORCORAN STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2B,3,301,Cluster 6,005302 3,005302,Precinct 15,,396537,138223,38.9118634655,-77.0399287735,939830105,
396504,137376,19195358,2019/11/01 03:04:59+00,2019/11/01 00:15:21+00,2019/11/01 00:48:46+00,1100 - 1129 BLOCK OF CONNECTICUT AVENUE NW,THEFT/OTHER,OTHERS,MIDNIGHT,2,2B,2,207,Cluster 6,010700 1,010700,Precinct 17,GOLDEN TRIANGLE,396504,137376,38.904233267,-77.0403049553,939830146,
396745,137321,19203024,2019/11/13 07:15:10+00,2019/11/13 04:15:21+00,2019/11/13 05:30:23+00,1600 - 1699 BLOCK OF L STREET NW,THEFT F/AUTO,OTHERS,MIDNIGHT,2,2B,2,207,Cluster 6,010700 1,010700,Precinct 17,GOLDEN TRIANGLE,396745,137321,38.9037387332,-77.0375262355,939830159,
397115,137836,19203936,2019/11/14 19:51:45+00,2019/11/14 18:25:15+00,2019/11/14 18:45:57+00,1400 - 1499 BLOCK OF RHODE ISLAND AVENUE NW,THEFT F/AUTO,OTHERS,DAY,2,2F,2,208,Cluster 7,005203 1,005203,Precinct 17,,397115,137836,38.9083793247,-77.0332627443,939830160,
399076,133996,19046428,2019/03/19 19:26:43+00,2019/03/18 20:41:56+00,2019/03/19 15:59:54+00,1300 - 1399 BLOCK OF HALF STREET SW,THEFT/OTHER,OTHERS,EVENING,6,6D,1,105,Cluster 9,006400 1,006400,Precinct 127,,399076,133996,38.8737914233,-77.0106481381,939830202,
397700,136611,19052100,2019/03/28 17:06:36+00,2019/03/28 16:28:57+00,2019/03/28 17:04:04+00,1000 - 1099 BLOCK OF F STREET NW,THEFT/OTHER,OTHERS,DAY,2,2C,2,209,Cluster 8,005802 5,005802,Precinct 129,DOWNTOWN,397700,136611,38.8973458172,-77.0265138574,939830213,
397171,137408,19175693,2019/10/02 17:42:59+00,2019/09/30 07:41:29+00,,1100 - 1199 BLOCK OF VERMONT AVENUE NW,THEFT/OTHER,OTHERS,DAY,2,2F,2,207,Cluster 8,010100 3,010100,Precinct 17,DOWNTOWN,397171,137408,38.904523934,-77.0326153266,939830254,
400541,139301,19202059,2019/11/11 19:16:03+00,2019/11/11 18:22:59+00,,2300 - 2499 BLOCK OF WASHINGTON PLACE NE,THEFT F/AUTO,OTHERS,DAY,5,5C,5,505,Cluster 22,009102 4,009102,Precinct 72,,400541,139301,38.9215811022,-76.9937613603,939830281,
398186,137106,19044475,2019/03/16 12:07:24+00,2019/03/16 07:40:59+00,2019/03/16 07:50:27+00,600 - 699 BLOCK OF MASSACHUSETTS AVENUE NW,BURGLARY,OTHERS,DAY,2,2C,1,101,Cluster 8,005801 2,005801,Precinct 129,DOWNTOWN,398186,137106,38.9018060921,-77.0209126715,939830283,
405034,135149,19075416,2019/05/03 12:11:09+00,2019/05/03 11:46:14+00,2019/05/03 12:11:49+00,400 - 499 BLOCK OF CHAPLIN STREET SE,MOTOR VEHICLE THEFT,OTHERS,DAY,7,7F,6,603,Cluster 33,007703 1,007703,Precinct 103,,405034,135149,38.8841641735,-76.9419799534,939830286,
399517,138221,19176319,2019/10/03 14:53:20+00,2019/10/03 12:30:47+00,2019/10/03 13:05:54+00,100 - 199 BLOCK OF QUINCY PLACE NE,THEFT F/AUTO,OTHERS,DAY,5,5E,5,502,Cluster 21,008701 1,008701,Precinct 75,,399517,138221,38.9118521385,-77.0055690424,939830287,
398477,137319,19158213,2019/09/06 04:03:10+00,2019/09/06 00:00:05+00,2019/09/06 03:00:55+00,400 - 497 BLOCK OF L STREET NW,THEFT F/AUTO,OTHERS,MIDNIGHT,6,6E,1,101,Cluster 8,004703 3,004703,Precinct 1,MOUNT VERNON TRIANGLE CID,398477,137319,38.9037254238,-77.0175583548,939830289,
397424,141730,19200050,2019/11/08 04:17:48+00,2019/11/08 01:00:59+00,2019/11/08 03:00:01+00,4200  - 4499 BLOCK OF 13TH STREET NW,THEFT F/AUTO,OTHERS,MIDNIGHT,4,4C,4,404,Cluster 18,002501 1,002501,Precinct 48,,397424,141730,38.9434586636,-77.0297147282,939830290,
394960,139457,19105425,2019/06/17 13:11:19+00,2019/06/16 18:00:29+00,2019/06/17 12:05:36+00,2600 - 2699 BLOCK OF 29TH STREET NW,THEFT F/AUTO,OTHERS,DAY,3,3C,2,204,Cluster 15,000400 2,000400,Precinct 12,,394960,139457,38.9229721139,-77.0581208127,939830291,
399104,143425,19087482,2019/05/21 20:21:38+00,2019/05/20 19:00:53+00,2019/05/21 19:30:37+00,1  - 99 BLOCK OF MADISON STREET NW,THEFT/OTHER,OTHERS,EVENING,4,4B,4,406,Cluster 17,002102 1,002102,Precinct 64,,399104,143425,38.9587310051,-77.0103377721,939830292,
400931,136105,19052818,2019/03/29 18:30:51+00,2019/03/03 00:10:15+00,2019/03/29 18:15:17+00,200 - 299 BLOCK OF 12TH PLACE NE,THEFT/OTHER,OTHERS,DAY,6,6A,1,108,Cluster 25,008002 2,008002,Precinct 86,,400931,136105,38.8927900997,-76.9892683371,939830302,
397162,140763,19138889,2019/08/07 15:48:57+00,2019/08/04 22:30:16+00,,3500 - 3505 BLOCK OF 14TH STREET NW,THEFT/OTHER,OTHERS,DAY,1,1A,4,408,Cluster 2,002801 2,002801,Precinct 41,,397162,140763,38.9347468373,-77.0327329561,939830316,
402582,136976,19008485,2019/01/15 22:27:18+00,2019/01/15 21:37:35+00,2019/01/15 22:19:37+00,600 - 899 BLOCK OF 26TH STREET NE,THEFT F/AUTO,OTHERS,EVENING,5,5D,5,507,Cluster 23,008904 3,008904,Precinct 79,,402582,136976,38.9006330854,-76.9702339414,939830320,
404541,136535,19220830,2019/12/11 23:38:02+00,2019/12/11 13:30:31+00,2019/12/11 22:30:20+00,4000 - 4121 BLOCK OF MINNESOTA AVENUE NE,THEFT F/AUTO,OTHERS,EVENING,7,7F,6,602,Cluster 30,007803 1,007803,Precinct 99,,404541,136535,38.8966524619,-76.94765293,939830321,
397921,136842,19118026,2019/07/06 15:19:01+00,2019/07/06 12:28:49+00,,703 - 799 BLOCK OF 9TH STREET NW,ROBBERY,OTHERS,DAY,2,2C,1,101,Cluster 8,005802 5,005802,Precinct 129,DOWNTOWN,397921,136842,38.899427299,-77.0239669208,939830334,
397610,137008,19143026,2019/08/14 01:14:08+00,2019/08/13 21:57:46+00,2019/08/13 23:11:33+00,1100 - 1199 BLOCK OF NEW YORK AVENUE NW,THEFT/OTHER,OTHERS,EVENING,2,2F,2,209,Cluster 8,010100 2,010100,Precinct 129,DOWNTOWN,397610,137008,38.9009218959,-77.0275527374,939830370,
394737,137483,19049596,2019/03/24 22:01:04+00,2019/03/24 18:59:19+00,2019/03/24 19:20:10+00,3036 - 3099 BLOCK OF M STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2E,2,206,Cluster 4,000102 3,000102,Precinct 5,GEORGETOWN,394737,137483,38.9051883564,-77.0606772966,939830406,
396009,139485,19400018,2019/01/02 15:48:43+00,2018/12/11 15:25:00+00,2018/12/11 20:00:00+00,1847 - 1999 BLOCK OF CALVERT STREET NW,THEFT/OTHER,OTHERS,DAY,1,1C,3,303,Cluster 1,003902 1,003902,Precinct 35,,396009,139485,38.9232297371,-77.0460240071,939830418,
393194,142322,19211426,2019/11/26 13:52:19+00,2019/11/26 11:45:56+00,2019/11/26 11:50:31+00,4500 - 4599 BLOCK OF FORT DRIVE NW,THEFT F/AUTO,OTHERS,DAY,3,3E,2,202,Cluster 11,001100 4,001100,Precinct 32,,393194,142322,38.9487689772,-77.078514568,939830448,
395861,137976,19105654,2019/06/17 20:06:29+00,2019/06/10 16:00:43+00,2019/06/10 20:00:50+00,2100 - 2199 BLOCK OF P STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2B,2,208,Cluster 6,005502 1,005502,Precinct 14,DUPONT CIRCLE,395861,137976,38.909635482,-77.0477216383,939830460,
397921,138058,19089207,2019/05/24 04:21:18+00,2019/05/24 03:26:51+00,2019/05/24 03:50:46+00,1500 - 1599 BLOCK OF 9TH STREET NW,THEFT F/AUTO,OTHERS,MIDNIGHT,2,6E,3,307,Cluster 7,004901 2,004901,Precinct 18,,397921,138058,38.9103814528,-77.0239706017,939830472,
405127,137046,19141498,2019/08/11 11:31:16+00,2019/08/11 10:12:47+00,2019/08/11 11:07:27+00,4200 - 4399 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,THEFT/OTHER,OTHERS,DAY,7,7D,6,602,Cluster 31,007809 2,007809,Precinct 94,,405127,137046,38.9012525106,-76.9408939134,939830534,
400948,135617,19144634,2019/08/16 05:42:05+00,2019/08/15 04:04:41+00,2019/08/15 04:14:23+00,100 - 199 BLOCK OF KENTUCKY AVENUE SE,ROBBERY,GUN,MIDNIGHT,6,6B,1,107,Cluster 26,006700 2,006700,Precinct 88,,400948,135617,38.8883939953,-76.989073051,939830535,
395232.979999997,136881.690000001,19147705,2019/08/21 00:33:39+00,2019/08/20 22:40:26+00,2019/08/20 22:45:46+00,2500 - 2699 BLOCK OF VIRGINIA AVENUE NW,THEFT/OTHER,OTHERS,EVENING,2,2A,2,207,Cluster 5,005602 3,005602,Precinct 3,,395232.98,136881.69,38.8997743736,-77.0549549553,939830536,
394088,138708,19149374,2019/08/23 17:21:19+00,2019/08/23 15:57:20+00,,1851 - 2008 BLOCK OF WISCONSIN AVENUE NW,THEFT/OTHER,OTHERS,DAY,2,2E,2,206,Cluster 4,000102 1,000102,Precinct 5,,394088,138708,38.9162194455,-77.0681701824,939830537,
399612,137531,19167812,2019/09/21 11:56:14+00,2019/09/20 18:20:24+00,2019/09/20 18:30:30+00,100 - 199 BLOCK OF M STREET NE,THEFT/OTHER,OTHERS,DAY,6,6C,5,501,Cluster 25,010601 2,010601,Precinct 144,NOMA,399612,137531,38.905636428,-77.0044732923,939830586,
401332,140808,19205247,2019/11/16 17:14:44+00,2019/11/16 16:32:19+00,2019/11/16 17:14:42+00,3700 - 3799 BLOCK OF 15TH STREET NE,THEFT F/AUTO,OTHERS,DAY,5,5B,5,504,Cluster 22,009503 2,009503,Precinct 68,,401332,140808,38.9351557846,-76.9846368756,939830617,
397424,140141,19184665,2019/10/16 00:36:49+00,2019/10/15 21:30:26+00,2019/10/15 23:35:30+00,3100 - 3199 BLOCK OF 13TH STREET NW,ROBBERY,OTHERS,EVENING,1,1A,3,302,Cluster 2,003000 1,003000,Precinct 39,,397424,140141,38.9291444788,-77.0297087631,939830619,
401872,141994,19097382,2019/06/05 08:25:31+00,2019/06/05 07:27:37+00,,1922 - 1949 BLOCK OF MICHIGAN AVENUE NE,ROBBERY,GUN,MIDNIGHT,5,5B,5,503,Cluster 20,009400 1,009400,Precinct 69,,401872,141994,38.9458386327,-76.9784053463,939830669,
401264,130300,19180177,2019/10/09 11:50:20+00,2019/10/08 18:30:36+00,2019/10/09 10:00:34+00,1300 - 1500 BLOCK OF MISSISSIPPI AVENUE SE,BURGLARY,OTHERS,DAY,8,8E,7,705,Cluster 38,007304 4,007304,Precinct 120,,401264,130300,38.8404958621,-76.985440509,939830674,
400734,134910,19100770,2019/06/10 08:29:32+00,2019/06/10 07:11:56+00,2019/06/10 07:31:46+00,500 - 599 BLOCK OF 11TH STREET SE,ROBBERY,GUN,MIDNIGHT,6,6B,1,106,Cluster 26,007100 2,007100,Precinct 91,CAPITOL HILL,400734,134910,38.882025274,-76.9915404381,939830732,
400734,135195,19101740,2019/06/12 02:20:24+00,2019/06/11 12:05:55+00,2019/06/11 20:20:01+00,328 - 399 BLOCK OF 11TH STREET SE,BURGLARY,OTHERS,EVENING,6,6B,1,107,Cluster 26,006900 1,006900,Precinct 90,,400734,135195,38.8845926637,-76.9915401337,939830733,
397863,138792,19062856,2019/04/14 00:29:26+00,2019/04/13 23:39:26+00,2019/04/14 00:29:34+00,900 - 931 BLOCK OF U STREET NW,THEFT/OTHER,OTHERS,EVENING,1,1B,3,305,Cluster 3,004401 3,004401,Precinct 137,,397863,138792,38.9169934322,-77.0246416186,939830737,
