city,datetime,latitude,longitude,crime_category,hour,month,weekday
DC,2020-07-04 09:18:28,38.9191820445,-77.0265219757,violent,9,7,5
DC,2020-07-05 00:44:16,38.9159129746,-77.0219199846,violent,0,7,6
DC,2020-07-05 17:49:35,38.8882772889,-76.9949630075,property,17,7,6
DC,2020-07-07 04:51:08,38.9171835065,-76.9800744828,property,4,7,1
DC,2020-07-07 07:41:50,38.914830273,-77.0296336169,property,7,7,1
DC,2020-01-10 00:01:56,38.9362976841,-77.0271973182,violent,0,1,4
DC,2020-01-10 11:37:32,38.9397390715,-77.0262412576,property,11,1,4
DC,2020-01-11 00:12:51,38.94789253,-77.068385046,property,0,1,5
DC,2020-01-11 06:09:17,38.9551509209,-77.0315655406,property,6,1,5
DC,2020-01-10 22:58:07,38.9170021703,-77.0953493699,property,22,1,4
DC,2020-01-11 22:51:52,38.9285073344,-76.9823663461,property,22,1,5
DC,2020-01-12 09:46:11,38.9148306546,-77.0280885179,property,9,1,6
DC,2020-01-12 08:51:17,38.9196948119,-76.970525801,violent,8,1,6
DC,2020-01-12 19:53:31,38.9743597766,-77.0152215536,property,19,1,6
DC,2020-03-07 17:48:25,38.8967234894,-77.029637623,property,17,3,5
DC,2020-03-08 14:38:06,38.9215871483,-77.027041796,property,14,3,6
DC,2020-03-09 07:09:21,38.8752007383,-76.9641943516,property,7,3,0
DC,2020-03-09 12:35:12,38.9242387047,-76.9979126878,property,12,3,0
DC,2020-03-10 01:51:01,38.8954477548,-76.9915388464,property,1,3,1
DC,2020-03-10 12:22:19,38.9315678931,-77.0289947084,property,12,3,1
DC,2020-03-10 16:31:18,38.9201234314,-77.0418591499,property,16,3,1
DC,2020-03-11 10:20:44,38.8424057778,-76.9864768199,violent,10,3,2
DC,2020-03-11 17:05:06,38.9466483222,-77.0267052304,property,17,3,2
DC,2020-03-12 15:05:09,38.9577822832,-77.0706212801,property,15,3,3
DC,2020-03-12 19:46:59,38.9579823859,-77.0180332234,property,19,3,3
DC,2020-03-13 03:50:29,38.8998059546,-77.0224338025,property,3,3,4
DC,2020-03-14 12:15:17,38.9031264759,-77.036545974,property,12,3,5
DC,2020-03-15 04:42:04,38.8955511575,-76.926662203,property,4,3,6
DC,2020-03-16 02:12:01,38.9247721684,-77.0406048691,property,2,3,0
DC,2020-03-18 12:29:15,38.952163237,-77.0167511854,property,12,3,2
DC,2020-01-16 08:55:42,38.9031337585,-77.0416993068,property,8,1,3
DC,2020-01-16 15:41:09,38.9258188069,-77.035462029,property,15,1,3
DC,2020-01-17 00:29:36,38.916635586,-77.0050966498,property,0,1,4
DC,2020-01-16 23:28:03,38.9268552377,-77.0731970042,property,23,1,3
DC,2020-01-18 03:03:17,38.8728302074,-76.9601161142,property,3,1,5
DC,2020-01-19 01:59:29,38.8983091573,-77.0288543832,property,1,1,6
DC,2020-01-19 19:55:09,38.9466817293,-77.0364298739,property,19,1,6
DC,2020-01-20 05:31:57,38.9321621107,-77.0302982235,violent,5,1,0
DC,2020-01-21 14:56:02,38.9840415513,-77.0267307876,property,14,1,1
DC,2020-01-21 16:00:38,38.8336314126,-76.9853843213,property,16,1,1
DC,2020-01-21 17:21:41,38.920932635,-76.9971632321,property,17,1,1
DC,2020-01-22 19:16:30,38.9007440676,-76.9854166839,property,19,1,2
DC,2020-01-22 23:56:18,38.9164722705,-76.9827267784,property,23,1,2
DC,2020-01-24 02:07:12,38.8764764112,-77.000057622,property,2,1,4
DC,2020-01-24 05:18:41,38.855198091,-76.9897348272,violent,5,1,4
DC,2020-01-25 02:03:14,38.899814108,-77.0265147748,property,2,1,5
DC,2020-01-25 16:20:18,38.950326586,-76.9938165262,violent,16,1,5
DC,2020-01-26 10:23:04,38.9223619646,-76.973396119,property,10,1,6
DC,2020-01-27 02:05:36,38.8972023322,-77.0234820081,property,2,1,0
DC,2020-01-27 19:03:53,38.942324981,-76.9762378236,property,19,1,0
DC,2020-01-28 00:35:27,38.9003636152,-77.0265265073,property,0,1,1
DC,2020-01-28 03:26:16,38.9051505514,-77.0639976245,property,3,1,1
DC,2020-01-28 04:01:40,38.9122303214,-77.0466395384,property,4,1,1
DC,2020-01-28 19:21:28,38.9310205335,-77.0184070004,property,19,1,1
DC,2020-01-29 12:46:24,38.9173449584,-77.0690706762,property,12,1,2
DC,2020-01-29 14:48:35,38.9238622318,-77.0408811202,violent,14,1,2
DC,2020-01-25 02:02:07,38.9039708033,-77.06336248,property,2,1,5
DC,2020-01-26 01:48:43,38.9229721139,-77.0581208127,violent,1,1,6
DC,2020-01-26 04:13:22,38.9037254238,-77.0175583548,property,4,1,6
DC,2020-01-26 09:45:54,38.9019274199,-77.039450543,property,9,1,6
DC,2020-01-26 15:45:14,38.8971641038,-77.050164438,property,15,1,6
DC,2020-01-26 20:37:26,38.9145352217,-77.0189331506,property,20,1,6
DC,2020-01-27 02:09:55,38.9397996129,-77.0357342796,property,2,1,0
DC,2020-01-28 11:18:07,38.9153973843,-77.0720091147,property,11,1,1
DC,2020-01-28 17:02:00,38.9820780539,-77.025414323,property,17,1,1
DC,2020-01-30 18:16:00,38.9007534942,-76.9892786674,violent,18,1,3
DC,2020-02-02 08:54:11,38.9191732797,-77.0254264997,violent,8,2,6
DC,2020-02-05 04:50:03,38.9644454663,-77.0753125628,property,4,2,2
DC,2020-02-06 10:02:36,38.9236360659,-76.956466646,property,10,2,3
DC,2020-02-07 11:47:23,38.9392078897,-77.024833849,property,11,2,4
DC,2020-02-06 19:52:01,38.9521078662,-77.0949464001,property,19,2,3
DC,2020-02-06 21:06:22,38.8971953825,-77.0083921944,property,21,2,3
DC,2020-02-06 23:09:09,38.9551509209,-77.0315655406,property,23,2,3
DC,2020-03-19 04:09:03,38.905998831,-77.0612083276,property,4,3,3
DC,2020-03-19 16:42:48,38.8864122561,-76.9902490062,property,16,3,3
DC,2020-03-20 03:05:20,38.8973298526,-76.9850484935,property,3,3,4
DC,2020-03-20 19:17:30,38.9538298765,-77.0159670679,property,19,3,4
DC,2020-03-21 17:32:04,38.9534853821,-77.0276538131,property,17,3,5
DC,2020-03-23 08:41:20,38.9045746677,-77.0627980986,property,8,3,0
DC,2020-03-24 20:24:19,38.9151395418,-76.9865668043,property,20,3,1
DC,2020-03-25 15:23:54,38.9100082273,-77.0384980383,property,15,3,2
DC,2020-03-26 00:33:21,38.9031942045,-76.9843670704,property,0,3,3
DC,2020-03-28 22:05:53,38.9503059555,-77.0254837498,property,22,3,5
DC,2020-03-30 13:47:30,38.9309112037,-77.0250270237,property,13,3,0
DC,2020-03-30 19:50:20,38.900185473,-76.9848173305,property,19,3,0
DC,2020-03-31 17:17:56,38.89437604,-76.9975562158,property,17,3,1
DC,2020-04-01 00:47:40,38.9387490373,-77.0219846779,property,0,4,2
DC,2020-04-02 16:40:03,38.847341847,-76.9823057573,property,16,4,3
DC,2020-04-02 23:27:37,38.9013121493,-76.9908925601,property,23,4,3
DC,2020-04-07 09:05:22,38.9031138229,-77.0090730838,property,9,4,1
DC,2020-04-09 17:54:15,38.8432784837,-76.9952906735,violent,17,4,3
DC,2020-04-09 22:51:40,38.9084741421,-76.9995618766,property,22,4,3
DC,2020-04-10 19:24:33,38.8775212491,-76.9943644895,property,19,4,4
DC,2020-04-11 12:48:58,38.8603103295,-76.9658379147,property,12,4,5
DC,2020-04-12 22:19:41,38.9071750139,-77.0365299473,violent,22,4,6
DC,2020-04-13 22:58:47,38.9565868135,-77.0126333928,property,22,4,0
DC,2020-04-14 07:33:24,38.8672601824,-76.9878433359,property,7,4,1
DC,2020-04-15 01:07:16,38.920932635,-76.9971632321,property,1,4,2
DC,2020-04-15 01:01:53,38.8814719008,-76.9280135974,property,1,4,2
DC,2020-04-15 14:45:48,38.9052566974,-77.0494711234,property,14,4,2
DC,2020-01-30 04:03:36,38.8841367332,-76.9411501302,property,4,1,3
DC,2020-01-31 00:05:53,38.8465309715,-76.9815571869,property,0,1,4
DC,2020-01-31 08:32:26,38.9223694668,-76.9674457024,property,8,1,4
DC,2020-01-31 11:06:29,38.9034718775,-76.97520165,property,11,1,4
DC,2020-01-31 14:14:11,38.8914662995,-76.9961730978,property,14,1,4
DC,2020-01-31 22:42:06,38.9164722705,-76.9827267784,property,22,1,4
DC,2020-02-02 01:25:25,38.8967328794,-77.0280929197,property,1,2,6
DC,2020-02-02 18:14:44,38.822840118,-77.0039268663,property,18,2,6
DC,2020-02-03 14:04:38,38.9241911629,-77.0519060013,property,14,2,0
DC,2020-02-04 14:00:17,38.9215494191,-77.0335802425,property,14,2,1
DC,2020-02-05 08:48:39,38.9233635553,-76.9507700185,property,8,2,2
DC,2020-02-06 07:56:49,38.9168675623,-77.0234423594,property,7,2,3
DC,2020-02-06 09:27:40,38.9096383502,-77.0400889444,property,9,2,3
DC,2020-02-06 17:06:52,38.8924243633,-76.9123028087,violent,17,2,3
DC,2020-02-06 21:29:33,38.9274163965,-77.022996055,property,21,2,3
DC,2020-02-07 22:57:26,38.8860244042,-76.9855119,property,22,2,4
DC,2020-02-08 16:10:55,38.9267825308,-77.0360045369,property,16,2,5
DC,2020-02-08 20:47:01,38.8973307255,-76.9955733396,property,20,2,5
DC,2020-02-08 20:44:25,38.9054720175,-77.0689784756,property,20,2,5
DC,2020-02-09 05:13:13,38.9164373828,-76.9944651921,property,5,2,6
DC,2020-02-06 22:36:53,38.9337287387,-77.097632334,property,22,2,3
DC,2020-02-07 08:41:30,38.9168675623,-77.0234423594,property,8,2,4
DC,2020-02-07 18:19:23,38.9001321019,-77.0466546848,property,18,2,4
DC,2020-02-09 04:41:28,38.8652752737,-76.9706404559,property,4,2,6
DC,2020-02-09 14:46:27,38.936186926,-77.0588812982,property,14,2,6
DC,2020-02-10 04:31:12,38.9667010717,-77.025097287,property,4,2,0
DC,2020-02-11 00:39:29,38.9439232592,-77.1010146038,property,0,2,1
DC,2020-04-15 17:00:38,38.9319523841,-77.0388674207,property,17,4,2
DC,2020-04-16 19:56:43,38.8264525261,-77.0035930916,property,19,4,3
DC,2020-04-16 22:49:31,38.9668436382,-77.0315591805,property,22,4,3
DC,2020-04-17 01:43:33,38.9072307509,-77.007494085,property,1,4,4
DC,2020-04-17 04:59:00,38.9215811022,-76.9937613603,property,4,4,4
DC,2020-04-17 16:35:29,38.9004483535,-77.0441878426,property,16,4,4
DC,2020-04-21 09:30:12,38.928738039,-77.0336412921,property,9,4,1
DC,2020-04-20 02:35:56,38.895464611,-76.9814868992,property,2,4,0
DC,2020-04-20 03:46:14,38.8660882335,-76.9813562469,violent,3,4,0
DC,2020-04-21 02:09:16,38.8897761049,-76.9413990624,property,2,4,1
DC,2020-04-22 20:56:03,38.8458556892,-76.983930368,property,20,4,2
DC,2020-04-23 01:02:43,38.855198091,-76.9897348272,violent,1,4,3
DC,2020-04-23 04:06:16,38.8887821893,-76.9549549042,property,4,4,3
DC,2020-04-23 16:59:49,38.8897602299,-76.9290195703,property,16,4,3
DC,2020-04-23 21:13:33,38.9483536271,-77.0799445766,property,21,4,3
DC,2020-04-24 23:28:39,38.9054195359,-76.9865225186,property,23,4,4
DC,2020-04-25 03:31:04,38.8917570961,-76.9397260401,property,3,4,5
DC,2020-04-25 16:17:12,38.9393711201,-77.0190781608,property,16,4,5
DC,2020-04-27 17:45:16,38.9159129746,-77.0219199846,property,17,4,0
DC,2020-04-27 21:57:52,38.9274787676,-77.09545564,property,21,4,0
DC,2020-04-28 04:58:47,38.8512567932,-76.965611841,property,4,4,1
DC,2020-04-28 18:10:42,38.9377778169,-76.9904265299,property,18,4,1
DC,2020-08-03 18:43:11,38.895464611,-76.9814868992,property,18,8,0
DC,2020-02-09 02:27:32,38.8995724528,-76.9184500418,violent,2,2,6
DC,2020-02-09 17:23:46,38.9243980739,-77.0255782804,property,17,2,6
DC,2020-02-09 18:40:19,38.8812770775,-77.013726475,property,18,2,6
DC,2020-02-10 21:46:18,38.9297926681,-77.1072685467,property,21,2,0
DC,2020-02-11 01:46:40,38.9310253771,-77.0362258103,property,1,2,1
DC,2020-02-11 14:07:05,38.8920065968,-76.9920925458,property,14,2,1
DC,2020-02-11 22:50:02,38.9080373712,-77.0319597522,property,22,2,1
DC,2020-02-12 21:20:21,38.927917428,-77.0364894836,property,21,2,2
DC,2020-02-13 03:21:16,38.9222116506,-76.9931501206,property,3,2,3
DC,2020-02-14 03:08:18,38.9078254892,-77.0035164846,property,3,2,4
DC,2020-02-14 21:32:12,38.9603142463,-77.0695507594,property,21,2,4
DC,2020-02-15 03:04:36,38.859415076,-76.9556647361,property,3,2,5
DC,2020-02-16 12:36:48,38.9434586636,-77.0297147282,property,12,2,6
DC,2020-02-16 17:54:47,38.8603103295,-76.9658379147,property,17,2,6
DC,2020-08-05 19:16:35,38.9140223205,-77.0149780668,property,19,8,2
DC,2020-08-06 17:36:56,38.9295242796,-77.0233081249,property,17,8,3
DC,2020-08-07 03:44:55,38.9031225493,-77.0121743046,property,3,8,4
DC,2020-08-08 00:07:09,38.8434505035,-76.9844377481,violent,0,8,5
DC,2020-08-08 01:01:02,38.8590265373,-76.9883056013,property,1,8,5
DC,2020-08-08 19:13:42,38.8316232925,-77.0058852653,violent,19,8,5
DC,2020-08-10 00:11:47,38.9851584174,-77.027389099,property,0,8,0
DC,2020-08-10 02:38:59,38.9303924994,-77.0778484789,property,2,8,0
DC,2020-08-10 09:39:07,38.8928951845,-76.9290856135,property,9,8,0
DC,2020-08-10 11:25:47,38.9066362463,-76.9347674108,property,11,8,0
DC,2020-08-11 08:20:01,38.9599074542,-77.0852995778,property,8,8,1
DC,2020-08-11 19:57:54,38.8918840754,-76.9414203847,property,19,8,1
DC,2020-08-12 17:43:14,38.9386748681,-77.031223747,property,17,8,2
DC,2020-08-13 13:56:54,38.8812588509,-76.9845908544,property,13,8,3
DC,2020-08-14 17:56:58,38.8216235129,-77.0110894656,property,17,8,4
DC,2020-08-15 23:42:59,38.9052566974,-77.0494711234,property,23,8,5
DC,2020-08-16 22:49:08,38.9381449622,-77.0245912572,property,22,8,6
DC,2020-08-17 09:11:56,38.8265239703,-77.0125873497,violent,9,8,0
DC,2020-08-17 14:34:39,38.9164722705,-76.9827267784,property,14,8,0
DC,2020-08-17 19:20:26,38.8981231391,-76.9902589333,property,19,8,0
DC,2020-08-18 01:28:37,38.8983562522,-76.9183476807,property,1,8,1
DC,2020-08-18 07:33:31,38.8951051597,-76.9883227419,violent,7,8,1
DC,2020-08-19 01:05:10,38.9256946006,-77.0540059831,property,1,8,2
DC,2020-08-18 23:57:00,38.9025842716,-77.0619547575,property,23,8,1
DC,2020-08-19 18:55:22,38.9301318676,-77.0413114382,property,18,8,2
DC,2020-02-08 07:16:51,38.8953929943,-76.9845878015,property,7,2,5
DC,2020-04-28 20:55:47,38.902525594,-77.0441787536,violent,20,4,1
DC,2020-04-29 00:32:21,38.9025181913,-77.018295888,property,0,4,2
DC,2020-04-29 19:06:45,38.8798087686,-76.9867809044,property,19,4,2
